context,source,target
desarrollo informatico,it developer,desarrollo informatico
director servicios informaticos,it manager,director servicios informaticos
jefe de tecnologia (it),it manager,jefe de tecnologia (it)
jefe servicios informaticos,it manager,jefe servicios informaticos
jefe de proyecto it,it project manager,jefe de proyecto it
profesor de italiano,italian teacher,profesor de italiano
consultor de java,java consultant,consultor de java
consultor java ee,java consultant,consultor java ee
desarrollador java,java developer,desarrollador java
desarrollador java ee,java ee developer,desarrollador java ee
programador java,java programmer,programador java
administrador copropietario,joint owner,administrador copropietario
guionista periodista,journalist,guionista periodista
periodista,journalist,periodista
periodista redactor,journalist editor,periodista redactor
periodista reportero,journalist reporter,periodista reportero
juez,judge,juez
magistrado,judge,magistrado
jurista,jurist,jurista
key account grandes cuentas,key accounts,key account grandes cuentas
gestor cuentas clave,key accounts manager,gestor cuentas clave
asistente de cocina,kitchen assistant,asistente de cocina
auxiliar de cocina,kitchen assistant,auxiliar de cocina
ayudante cocina ayudante camarero,kitchen assistant,ayudante cocina ayudante camarero
ayudante cocina limpiadora,kitchen assistant,ayudante cocina limpiadora
ayudante cocina restaurante,kitchen assistant,ayudante cocina restaurante
ayudante de cocina,kitchen assistant,ayudante de cocina
dependiente ayudante cocina,kitchen assistant,dependiente ayudante cocina
pinche,kitchen assistant,pinche
jefe sector madera cocinas,kitchen bathroom fitter,jefe sector madera cocinas
jefe cocina gerente,kitchen manager,jefe cocina gerente
responsable gestion conocimiento,knowledge management consultant,responsable gestion conocimiento
jornalero,labourer,jornalero
arquitecto paisajista,landscape architect,arquitecto paisajista
paisajista,landscaper,paisajista
asistente idiomas,language assistant,asistente idiomas
logopeda maestro audicion lenguaje,language teacher,logopeda maestro audicion lenguaje
profesor de idiomas,language teacher,profesor de idiomas
profesor lengua,language teacher,profesor lengua
abogado consultor,law consultant,abogado consultor
auxiliar justicia,law intern,auxiliar justicia
auxiliar procurador,law intern,auxiliar procurador
letrado,lawyer,letrado
oficial abogado,lawyer,oficial abogado
procurador habilitado,lawyer,procurador habilitado
ayudante abogado,lawyer assistant,ayudante abogado
analista funcional jefe,lead analyst,analista funcional jefe
director titular,lead director,director titular
aparejador jefe,lead engineer,aparejador jefe
jefe obras civiles,lead engineer,jefe obras civiles
supervisor jefe,lead supervisor,supervisor jefe
jefe tecnico sistemas,lead technician,jefe tecnico sistemas
consultor lean,lean consultant,consultor lean
experto lean manufacturing,lean manufacturing manager,experto lean manufacturing
profesor apoyo extraescolar,learning support teacher,profesor apoyo extraescolar
conferenciante,lecturer,conferenciante
profesor asociado derecho administrativo,lecturer associate professor,profesor asociado derecho administrativo
profesor asociado derecho mercantil,lecturer associate professor,profesor asociado derecho mercantil
licenciada historia,lecturer history,licenciada historia
docente investigador,lecturer researcher,docente investigador
formador conferenciante,lecturer trainer,formador conferenciante
administrativo juridico,legal administrative assistant,administrativo juridico
letrado asesor,legal adviser,letrado asesor
asistente letrado,legal assistant,asistente letrado
letrado servicios juridicos,legal service,letrado servicios juridicos
auxiliar comedor ocio,leisure assistant,auxiliar comedor ocio
coordinador ocio,leisure manager,coordinador ocio
monitor actividades ludicas,leisure manager,monitor actividades ludicas
archivero bibliotecario,librarian,archivero bibliotecario
bibliotecario,librarian,bibliotecario
bibliotecario documentalista,librarian,bibliotecario documentalista
auxiliar archivos bibliotecas,library assistant,auxiliar archivos bibliotecas
auxiliar biblioteca biblioteca,library assistant,auxiliar biblioteca biblioteca
auxiliar de biblioteca,library assistant,auxiliar de biblioteca
ayudante biblioteca,library assistant,ayudante biblioteca
director concesiones,license manager,director concesiones
gestor licencias,license manager,gestor licencias
coach,life coach,coach
socorrista,lifeguard,socorrista
estilista asesor imagen,lifestyle consultant,estilista asesor imagen
cocinero linea,line cook,cocinero linea
gerente linea,line manager,gerente linea
operador de linea,line operator,operador de linea
operario de linea,line operator,operario de linea
operario encargado,line operator,operario encargado
supervisor linea,line supervisor,supervisor linea
jefe localizaciones,location manager,jefe localizaciones
analista tic,logistics analyst,analista tic
soporte logistico,logistics support,soporte logistico
becario de operaciones,logistics trainee,becario de operaciones
administrativo siniestros,loss adjuster,administrativo siniestros
administrativo tramitador siniestros,loss adjuster,administrativo tramitador siniestros
perito tasador siniestros,loss adjuster,perito tasador siniestros
conductor maquinaria,machine driver,conductor maquinaria
conductor maquinas,machine driver,conductor maquinas
jefe parque maquinaria,machine driver,jefe parque maquinaria
ingeniero maquinaria,machine engineer,ingeniero maquinaria
oficial maquina,machine operator,oficial maquina
operador de maquinaria,machine operator,operador de maquinaria
operador maquina,machine operator,operador maquina
operador maquinas,machine operator,operador maquinas
operario maquina,machine operator,operario maquina
operario maquina corte laser,machine operator,operario maquina corte laser
operario maquina herramienta,machine operator,operario maquina herramienta
operario maquina inyeccion,machine operator,operario maquina inyeccion
operario maquinaria industrial,machine operator,operario maquinaria industrial
operario maquinaria pesada,machine operator,operario maquinaria pesada
operario maquinas,machine operator,operario maquinas
preparador maquinas,machine operator,preparador maquinas
tecnico de maquinaria,machine technician,tecnico de maquinaria
instrumentista,machinist,instrumentista
mantenimiento,maintenance,mantenimiento
mantenimiento equipos,maintenance,mantenimiento equipos
mantenimiento industrial,maintenance,mantenimiento industrial
mantenimiento preventivo,maintenance,mantenimiento preventivo
montador mantenimiento,maintenance,montador mantenimiento
mozo mantenimiento,maintenance,mozo mantenimiento
responsable mantenimientos,maintenance,responsable mantenimientos
socorrista mantenimiento,maintenance,socorrista mantenimiento
soldador mantenimiento,maintenance,soldador mantenimiento
administrativo de mantenimiento,maintenance administrator,administrativo de mantenimiento
asistente de mantenimiento,maintenance assistant,asistente de mantenimiento
auxiliar mantenimiento,maintenance assistant,auxiliar mantenimiento
ayudante mantenimiento,maintenance assistant,ayudante mantenimiento
ayudante tecnico mantenimiento,maintenance assistant,ayudante tecnico mantenimiento
coordinador de mantenimiento,maintenance coordinator,coordinador de mantenimiento
electricista mantenimiento,maintenance electrician,electricista mantenimiento
oficial electricista mantenimiento,maintenance electrician,oficial electricista mantenimiento
ingeniero de mantenimiento,maintenance engineer,ingeniero de mantenimiento
ingeniero departamento mantenimiento,maintenance engineer,ingeniero departamento mantenimiento
ingeniero mantenimiento instalaciones,maintenance engineer,ingeniero mantenimiento instalaciones
ingeniero operaciones mantenimiento,maintenance engineer,ingeniero operaciones mantenimiento
encargado de mantenimiento,maintenance manager,encargado de mantenimiento
encargado mantenimiento industrial,maintenance manager,encargado mantenimiento industrial
encargado produccion mantenimiento,maintenance manager,encargado produccion mantenimiento
gestor contratos mantenimiento,maintenance manager,gestor contratos mantenimiento
gestor mantenimiento,maintenance manager,gestor mantenimiento
jefe de mantenimiento,maintenance manager,jefe de mantenimiento
jefe produccion mantenimiento,maintenance manager,jefe produccion mantenimiento
jefe tecnico mantenimiento,maintenance manager,jefe tecnico mantenimiento
responsable dpto mantenimiento,maintenance manager,responsable dpto mantenimiento
responsable mantenimiento,maintenance manager,responsable mantenimiento
mecanico mantenimiento,maintenance mechanic,mecanico mantenimiento
jefe de mantenimiento industrial,maintenance officer,jefe de mantenimiento industrial
oficial de mantenimiento,maintenance officer,oficial de mantenimiento
oficial de primera mantenimiento,maintenance officer,oficial de primera mantenimiento
oficial mecanico mantenimiento,maintenance officer,oficial mecanico mantenimiento
oficial segunda mantenimiento,maintenance officer,oficial segunda mantenimiento
peon de mantenimiento,maintenance officer,peon de mantenimiento
responsable de mantenimiento,maintenance officer,responsable de mantenimiento
tecnico mantenimiento oficial,maintenance officer,tecnico mantenimiento oficial
operario mantenimiento industrial,maintenance operative,operario mantenimiento industrial
servicio de mantenimiento,maintenance service,servicio de mantenimiento
supervisor de mantenimiento,maintenance supervisor,supervisor de mantenimiento
jefe de equipo de mantenimiento,maintenance team leader,jefe de equipo de mantenimiento
tecnico de mantenimiento,maintenance technician,tecnico de mantenimiento
tecnico de mantenimiento electromecanico,maintenance technician,tecnico de mantenimiento electromecanico
tecnico de operaciones de mantenimiento,maintenance technician,tecnico de operaciones de mantenimiento
tecnico electromecanico mantenimiento,maintenance technician,tecnico electromecanico mantenimiento
tecnico instalador mantenimiento,maintenance technician,tecnico instalador mantenimiento
tecnico mantenimiento avionica,maintenance technician,tecnico mantenimiento avionica
tecnico mantenimiento electromedicina,maintenance technician,tecnico mantenimiento electromedicina
tecnico mantenimiento industrial,maintenance technician,tecnico mantenimiento industrial
tecnico mantenimiento instalador,maintenance technician,tecnico mantenimiento instalador
tecnico mantenimiento maquinaria,maintenance technician,tecnico mantenimiento maquinaria
tecnico mantenimiento obras,maintenance technician,tecnico mantenimiento obras
tecnico mantenimiento planta,maintenance technician,tecnico mantenimiento planta
tecnico mantenimientos,maintenance technician,tecnico mantenimientos
tecnico obras mantenimiento,maintenance technician,tecnico obras mantenimiento
tecnico puesta marcha mantenimiento,maintenance technician,tecnico puesta marcha mantenimiento
tenico mantenimiento,maintenance technician,tenico mantenimiento
operario de mantenimiento,maintenance worker,operario de mantenimiento
jefe de sala,maitre,jefe de sala
consejera belleza maquilladora,makeup artist,consejera belleza maquilladora
gerencia,management,gerencia
responsable gerencia,management,responsable gerencia
administrativo de gerencia,management administrator,administrativo de gerencia
administrativo dpto gestion,management administrator,administrativo dpto gestion
administrativo gerencia,management administrator,administrativo gerencia
asistente gerencia,management assistant,asistente gerencia
asesor gerencia,management consultant,asesor gerencia
consultor gerente,management consultant,consultor gerente
consultor gestion calidad,management consultant,consultor gestion calidad
consultor gestor,management consultant,consultor gestor
gestion desarrollo personas,management development,gestion desarrollo personas
ingeniero gerente,management engineer,ingeniero gerente
tecnico de gestion de servicios comunes,management technician,tecnico de gestion de servicios comunes
tecnico de seleccion y gestion de personal,management technician,tecnico de seleccion y gestion de personal
tecnico gestion ayudas,management technician,tecnico gestion ayudas
tecnico seleccion gestion,management technician,tecnico seleccion gestion
afilador,manager,afilador
calderero montador,manager,calderero montador
delineante naval,manager,delineante naval
encargado,manager,encargado
encargado autonomo,manager,encargado autonomo
encargado cajas,manager,encargado cajas
encargado corner,manager,encargado corner
encargado fontaneria,manager,encargado fontaneria
encargado parafarmacia,manager,encargado parafarmacia
encargado pescaderia,manager,encargado pescaderia
encargado tercera,manager,encargado tercera
encargado textil,manager,encargado textil
gerente,manager,gerente
gerente asturias,manager,gerente asturias
gerente murcia,manager,gerente murcia
gerente rural,manager,gerente rural
gerente seleccion,manager,gerente seleccion
gerente trabajador,manager,gerente trabajador
gestor,manager,gestor
gestor alarmas,manager,gestor alarmas
gestor casos,manager,gestor casos
gestor espacios,manager,gestor espacios
gestor llamadas,manager,gestor llamadas
gestor marcas,manager,gestor marcas
gestor presencial,manager,gestor presencial
gestor telefonico,manager,gestor telefonico
jefe metodos tiempos,manager,jefe metodos tiempos
peon encargado,manager,peon encargado
responsable,manager,responsable
responsable caballero,manager,responsable caballero
responsable cantabria,manager,responsable cantabria
responsable de sala,manager,responsable de sala
responsable de unidad,manager,responsable de unidad
responsable filial,manager,responsable filial
responsable noroeste,manager,responsable noroeste
responsable provincia,manager,responsable provincia
responsable valladolid,manager,responsable valladolid
responsable varios departamentos,manager,responsable varios departamentos
sanitario,manager,sanitario
viceconsejero,manager,viceconsejero
asesor fiscal gerente,manager advisory,asesor fiscal gerente
asesor gestor laboral,manager advisory,asesor gestor laboral
gerente servicios financieros,manager financial services,gerente servicios financieros
jefe gestion calidad,manager quality management,jefe gestion calidad
responsable gestion calidad,manager quality management,responsable gestion calidad
gerente agencia inmobiliaria,manager real estate,gerente agencia inmobiliaria
gestor patrimonio inmobiliario,manager real estate,gestor patrimonio inmobiliario
encargado formador,manager trainer,encargado formador
gestor asistencia,managers assistant,gestor asistencia
gestor tramitador,managing consultant,gestor tramitador
director creativo / gerente,managing creative director,director creativo / gerente
director administrador,managing director,director administrador
director encargado,managing director,director encargado
director general,managing director,director general
director general director,managing director,director general director
director gerente,managing director,director gerente
maestro director,managing director,maestro director
secretario gerencia,managing director,secretario gerencia
consejero administracion,managing director consultant,consejero administracion
director gerente administrador,managing director manager,director gerente administrador
gerente director medico,managing director media,gerente director medico
gerente accionista,managing director shareholder,gerente accionista
socio gerente,managing partner,socio gerente
ingeniero procesos fabricacion,manufacturing process engineer,ingeniero procesos fabricacion
responsable calidad fabricacion,manufacturing quality engineer,responsable calidad fabricacion
analista de mercados,market analyst,analista de mercados
analista mercado,market analyst,analista mercado
desarrollador mercado,market developer,desarrollador mercado
desarrollo mercados,market development,desarrollo mercados
director mercados,market manager,director mercados
director nuevos mercados,market manager,director nuevos mercados
analista estudios mercado,market research analyst,analista estudios mercado
asistente estudios mercado,market research assistant,asistente estudios mercado
investigador mercado,market researcher,investigador mercado
investigador mercados,market researcher,investigador mercados
investigadora mercados,market researcher,investigadora mercados
analista riesgo mercado,market risk analyst,analista riesgo mercado
locutor anuncios,marketing advertising,locutor anuncios
marketing publicidad,marketing advertising,marketing publicidad
coordinador mercadeo,marketing coordinator,coordinador mercadeo
coordinador promociones,marketing coordinator,coordinador promociones
disenador de publicidad,marketing designer,disenador de publicidad
responsable dpto publicidad,marketing manager,responsable dpto publicidad
jefe publicidad marketing,marketing manger,jefe publicidad marketing
jefe imagen,marketing pr manager,jefe imagen
gerente promociones inmobiliarias,marketing promotions manager,gerente promociones inmobiliarias
responsable mercados,marketing responsible,responsable mercados
coordinador jefe ventas,marketing segment manager,coordinador jefe ventas
masajista,massage therapist,masajista
quiromasajista,massage therapist,quiromasajista
terapeuta masajista,massage therapist,terapeuta masajista
responsable materias primas,materials controller,responsable materias primas
coordinador materiales,materials coordinator,coordinador materiales
gestor materiales,materials manager,gestor materiales
ingeniero materiales procesos,materials processes engineer,ingeniero materiales procesos
ingeniero superior procesos,materials processes engineer,ingeniero superior procesos
enfermero maternidad,maternity nurse,enfermero maternidad
alcalde,mayor,alcalde
marinero puente maquinas,mecanicien machines,marinero puente maquinas
mecanico automocion,mechanic,mecanico automocion
ingeniero proyectista mecanico,mechanical design engineer,ingeniero proyectista mecanico
proyectista mecanico,mechanical designer,proyectista mecanico
ingeniero mecanico,mechanical engineer,ingeniero mecanico
ingeniero mantenimiento mecanico,mechanical maintenance engineer,ingeniero mantenimiento mecanico
encargado mantenimiento mecanico,mechanical manager,encargado mantenimiento mecanico
encargado mecanico,mechanical manager,encargado mecanico
encargado mecanizado,mechanical manager,encargado mecanizado
jefe equipo mecanico,mechanical team leader,jefe equipo mecanico
jefe instalaciones mecanicas,mechanical team leader,jefe instalaciones mecanicas
analista de medios,media analyst,analista de medios
analista prensa,media analyst,analista prensa
analista social media,media analyst,analista social media
asistente de medios,media assistant,asistente de medios
periodista asesor,media consultant,periodista asesor
director medios audiovisuales,media director,director medios audiovisuales
responsable relaciones medios,media relations manager,responsable relaciones medios
portavoz,media spokesperson,portavoz
abogado mediador,mediator,abogado mediador
mediador,mediator,mediador
asesor medico,medical adviser,asesor medico
asistente medico,medical assistant,asistente medico
medico adjunto digestivo,medical assistant,medico adjunto digestivo
medico adjunto,medical consultant,medico adjunto
medico consultor,medical consultant,medico consultor
coordinador medico,medical coordinator,coordinador medico
delegado visitador medico,medical delegate,delegado visitador medico
director medico,medical director,director medico
director servicios medicos,medical director,director servicios medicos
perito medico,medical expert,perito medico
interno medicina,medical intern,interno medicina
atencion medico de familia,medical practitioner,atencion medico de familia
medico adicciones,medical practitioner,medico adicciones
medico contingencias comunes,medical practitioner,medico contingencias comunes
medico equipo atencion,medical practitioner,medico equipo atencion
medico familia salud,medical practitioner,medico familia salud
medico mir,medical practitioner,medico mir
medico residente medicina familia,medical resident,medico residente medicina familia
medico residente medicina nuclear,medical resident,medico residente medicina nuclear
medico residente medicina trabajo,medical resident,medico residente medicina trabajo
medico residente obstetricia ginecologia,medical resident,medico residente obstetricia ginecologia
residente medicina nuclear,medical resident,residente medicina nuclear
delegado visita medica,medical sales representative,delegado visita medica
visitador medico,medical sales representative,visitador medico
mentor,mentor,mentor
jefe maquinas marina mercante,merchant navy,jefe maquinas marina mercante
vendedor mozo almacen,merchant navy,vendedor mozo almacen
metalista,metal worker,metalista
comadrona,midwife,comadrona
matrona,midwife,matrona
militante,military,militante
molinero,miller,molinero
desarrollador aplicaciones moviles,mobile application developer,desarrollador aplicaciones moviles
desarrollador movil,mobile developer,desarrollador movil
tecnico movilidad,mobile technician,tecnico movilidad
agente de movilidad,mobility,agente de movilidad
gestor movilidad,mobility manager,gestor movilidad
responsable movilidad,mobility manager,responsable movilidad
azafato de imagen,model,azafato de imagen
modelador,modeller,modelador
moderador,moderator,moderador
monitor actividad,monitor,monitor actividad
monitor baile,monitor,monitor baile
monitor camarero,monitor,monitor camarero
monitor granja,monitor,monitor granja
monitor idiomas,monitor,monitor idiomas
monitor internet,monitor,monitor internet
monitor memoria,monitor,monitor memoria
monitor social,monitor,monitor social
monitor turismo,monitor,monitor turismo
monitor actividad extraescolar,monitoring officer,monitor actividad extraescolar
monitor actividades infantiles juveniles,monitoring officer,monitor actividades infantiles juveniles
monitor actividades libre infantil juvenil,monitoring officer,monitor actividades libre infantil juvenil
monitor clases extraescolares ingles,monitoring officer,monitor clases extraescolares ingles
monitor colonias urbanas,monitoring officer,monitor colonias urbanas
monitor comedor colegio,monitoring officer,monitor comedor colegio
monitor habilidades sociales,monitoring officer,monitor habilidades sociales
monitor pista hielo,monitoring officer,monitor pista hielo
monitor talleres memoria,monitoring officer,monitor talleres memoria
responsable de seguimiento,monitoring officer,responsable de seguimiento
administrativo hipotecario,mortgage administrator,administrativo hipotecario
asesor hipotecario,mortgage advisor,asesor hipotecario
gestor hipotecario,mortgage manager,gestor hipotecario
gestor prestamos hipotecarios,mortgage manager,gestor prestamos hipotecarios
tramitador siniestros automocion,motor claims handler,tramitador siniestros automocion
desarrollador multimedia,multimedia developer,desarrollador multimedia
desarrollador web multimedia,multimedia developer,desarrollador web multimedia
realizador multimedia,multimedia producer,realizador multimedia
productor musical,music producer,productor musical
ingeniero sonido productor musical,music producer sound engineer,ingeniero sonido productor musical
ejecutivo cuentas nacionales,national account executive,ejecutivo cuentas nacionales
jefe cuentas nacionales,national account manager,jefe cuentas nacionales
gerente cuentas nacionales,national accounts manager,gerente cuentas nacionales
gestor cuentas nacionales,national accounts manager,gestor cuentas nacionales
ingeniero naval,naval architect,ingeniero naval
desarrollador .net,net developer,desarrollador .net
desarrollador net,net developer,desarrollador net
desarrollador software net,net software developer,desarrollador software net
desarrollador web net,net web developer,desarrollador web net
administrador de redes,network administrator,administrador de redes
administrador redes informaticas,network administrator,administrador redes informaticas
administrador redes sociales,network administrator,administrador redes sociales
analista redes,network analyst,analista redes
consultor redes,network consultant,consultor redes
coordinador de redes sociales,network coordinator,coordinador de redes sociales
coordinador redes,network coordinator,coordinador redes
desarrollo net,network development manager,desarrollo net
ingeniero redes,network engineer,ingeniero redes
responsable de redes,network manager,responsable de redes
ingeniero seguridad redes,network security engineer,ingeniero seguridad redes
ingeniero soporte redes,network support engineer,ingeniero soporte redes
administrador de redes y comunicaciones,network systems administrator,administrador de redes y comunicaciones
administrador de sistemas y aplicaciones,network systems administrator,administrador de sistemas y aplicaciones
administrador redes sistemas informaticos,network systems administrator,administrador redes sistemas informaticos
administrador sistemas informaticos practicas,network systems administrator,administrador sistemas informaticos practicas
administrador sistemas informaticos redes,network systems administrator,administrador sistemas informaticos redes
administrador sistemas redes,network systems administrator,administrador sistemas redes
programador web administrador sistemas,network systems administrator,programador web administrador sistemas
tecnico administrador de sistemas informaticos,network systems administrator,tecnico administrador de sistemas informaticos
responsable sistemas redes,network systems engineer,responsable sistemas redes
tecnico de redes sociales,network technician,tecnico de redes sociales
neurocirujano,neurosurgeon,neurocirujano
desarrollo nuevo negocio,new business development,desarrollo nuevo negocio
responsable desarrollo nuevos productos,new product development manager,responsable desarrollo nuevos productos
editor de noticias,news editor,editor de noticias
editor informativos,news editor,editor informativos
redactor de informativos,news editor,redactor de informativos
redactor de noticias,news editor,redactor de noticias
redactor informativo,news editor,redactor informativo
redactor servicios informativos,news editor,redactor servicios informativos
coordinador de informativos,news manager,coordinador de informativos
presentador de informativos,news presenter,presentador de informativos
presentador noticias,news presenter,presentador noticias
redactor presentadora informativos,news presenter,redactor presentadora informativos
redactor actualidad,news writer,redactor actualidad
auditor noche,night auditor,auditor noche
auditor nocturno,night auditor,auditor nocturno
ingeniero nuclear,nuclear engineer,ingeniero nuclear
ingeniero seguridad nuclear,nuclear engineer,ingeniero seguridad nuclear
enfemero,nurse,enfemero
enfermera,nurse,enfermera
enfermero,nurse,enfermero
enfermero familia,nurse,enfermero familia
enfermero generalista,nurse,enfermero generalista
enfermero geriatria,nurse,enfermero geriatria
enfermero hemodialisis,nurse,enfermero hemodialisis
enfermero hemodinamica,nurse,enfermero hemodinamica
enfermero nefrologia,nurse,enfermero nefrologia
enfermero podologa,nurse,enfermero podologa
enfermero salud,nurse,enfermero salud
enfermero sangre,nurse,enfermero sangre
licenciada enfermeria,nurse,licenciada enfermeria
tecnico de enfermeria,nurse,tecnico de enfermeria
enfermero reproduccion asistida,nurse assistant,enfermero reproduccion asistida
enfermero consulta,nurse consultant,enfermero consulta
enfermero coordinador,nurse coordinator,enfermero coordinador
enfermero gestor,nurse manager,enfermero gestor
enfermero uvi movil,nurse specialist,enfermero uvi movil
auxilar enfermeria,nursing assistant,auxilar enfermeria
auxiliar de enfermeria,nursing assistant,auxiliar de enfermeria
ayudante enfermeria,nursing assistant,ayudante enfermeria
asesor nutricional,nutritional advisor,asesor nutricional
nutricionista deportiva,nutritional therapist,nutricionista deportiva
medico adjunto ginecologia obstetricia,obstetrician gynaecologist,medico adjunto ginecologia obstetricia
medico adjunto servicio ginecologia obstetricia,obstetrician gynaecologist,medico adjunto servicio ginecologia obstetricia
medico ocupacional,occupational health,medico ocupacional
tecnico salud laboral,occupational health,tecnico salud laboral
enfermero laboral,occupational health nurse,enfermero laboral
coordinador terapeuta ocupacional,occupational therapist,coordinador terapeuta ocupacional
terapeuta ocupacional,occupational therapist,terapeuta ocupacional
terapeuta ocupacional domicilio,occupational therapist,terapeuta ocupacional domicilio
administrador oficina,office administrator,administrador oficina
ayudante de despacho,office assistant,ayudante de despacho
consultor oficinas,office consultant,consultor oficinas
coordinador oficinas,office coordinator,coordinador oficinas
director bufete,office manager,director bufete
director de oficina,office manager,director de oficina
director departamento oficinas,office manager,director departamento oficinas
encargado oficial primera,office manager,encargado oficial primera
gerente de oficina,office manager,gerente de oficina
gerente oficial,office manager,gerente oficial
responsable oficinas,office manager,responsable oficinas
gerente de punto venta,office sales manager,gerente de punto venta
gestor de puntos de venta,office sales manager,gestor de puntos de venta
gestor punto ventas,office sales manager,gestor punto ventas
gpv gestor punto venta,office sales manager,gpv gestor punto venta
secretario oficina,office secretary,secretario oficina
oficial,officer,oficial
oficial calderero,officer,oficial calderero
oficial carretillero,officer,oficial carretillero
oficial maquinas,officer,oficial maquinas
oficial responsable,officer,oficial responsable
ofimatico,officer,ofimatico
oficial enlace,official,oficial enlace
coordinador linea cajas,online coordinator,coordinador linea cajas
gerente operario,operating manager,gerente operario
director operacional,operational director,director operacional
director operativa,operational director,director operativa
director operativo,operational director,director operativo
gestor operativa,operational manager,gestor operativa
responsable operativo,operational manager,responsable operativo
operador especializado,operational specialist,operador especializado
operario inventario,operations,operario inventario
administrativo dpto operaciones,operations administrator,administrativo dpto operaciones
administrativo operario,operations administrator,administrativo operario
analista operaciones,operations analyst,analista operaciones
asistente operaciones,operations assistant,asistente operaciones
auxiliar operativo,operations assistant,auxiliar operativo
adjunta operaciones,operations associate,adjunta operaciones
coordinador departamento operaciones,operations coordinator,coordinador departamento operaciones
coordinador operaciones,operations coordinator,coordinador operaciones
director centros comerciales,operations director,director centros comerciales
director de operaciones,operations director,director de operaciones
director del departamento de operaciones,operations director,director del departamento de operaciones
director departamento compras,operations director,director departamento compras
director departamento fiscal,operations director,director departamento fiscal
director departamento obras,operations director,director departamento obras
director departamento urbanismo,operations director,director departamento urbanismo
director general operaciones,operations director,director general operaciones
director murcia baleares,operations director,director murcia baleares
director operaciones calidad,operations director,director operaciones calidad
jefe sonido directo,operations director,jefe sonido directo
responsable compras operaciones,operations director,responsable compras operaciones
ingeniero operaciones,operations engineer,ingeniero operaciones
ejecutiva operaciones,operations executive,ejecutiva operaciones
operaciones mantenimiento,operations maintenance manager,operaciones mantenimiento
responsable operaciones mantenimiento,operations maintenance manager,responsable operaciones mantenimiento
gerente director operaciones,operations manager,gerente director operaciones
gerente operaciones,operations manager,gerente operaciones
gestor de operaciones,operations manager,gestor de operaciones
operador gestor,operations manager,operador gestor
responsable de operaciones,operations manager,responsable de operaciones
responsable departamento operaciones,operations manager,responsable departamento operaciones
responsable operaciones calidad,operations quality manager,responsable operaciones calidad
supervisor de operaciones,operations supervisor,supervisor de operaciones
tecnico operaciones,operations technical manager,tecnico operaciones
tecnico operaciones redes,operations technical manager,tecnico operaciones redes
auxiliar operador,operator,auxiliar operador
oficial fresador,operator,oficial fresador
oficial pista,operator,oficial pista
oficial tornero,operator,oficial tornero
oficial tornero fresador,operator,oficial tornero fresador
operador calderas,operator,operador calderas
operador montaje,operator,operador montaje
operador nivel,operator,operador nivel
operador rampa,operator,operador rampa
operador reservas,operator,operador reservas
operario acondicionamiento,operator,operario acondicionamiento
operario automocion,operator,operario automocion
operario auxiliar,operator,operario auxiliar
operario cadena,operator,operario cadena
operario cocina,operator,operario cocina
operario manipulador,operator,operario manipulador
operario montajes,operator,operario montajes
operario primera,operator,operario primera
operario reciclaje,operator,operario reciclaje
operario torno,operator,operario torno
operario verificador,operator,operario verificador
operdor de soldadura,operator,operdor de soldadura
tornero convencional,operator,tornero convencional
operador camara tecnico sonido,operator technician,operador camara tecnico sonido
cirujano oral,oral surgeon,cirujano oral
administrativo pedidos,order administrator,administrativo pedidos
encargado pedidos,order manager,encargado pedidos
jefe sala encargado,order manager,jefe sala encargado
organizador coordinador,organizer,organizador coordinador
propietario,owner,propietario
jefe,owner boss,jefe
jefe asturias,owner boss,jefe asturias
jefe bodega,owner boss,jefe bodega
propietario jefe,owner chief,propietario jefe
gerente propietario,owner manager,gerente propietario
secretario presidencia,pa directors,secretario presidencia
empaquetador,packer,empaquetador
envasador,packer,envasador
jefe chapa pintura,paint supervisor,jefe chapa pintura
pintor,painter,pintor
pintor edificios,painter,pintor edificios
pintor empapelador,painter,pintor empapelador
pintor oficial primera,painter,pintor oficial primera
pintores,painter,pintores
responsable chapa pintura,painter,responsable chapa pintura
oficial chapa pintura,painting decorating,oficial chapa pintura
asistente parlamentario,parliamentary assistant,asistente parlamentario
colaborador administrativo,partner,colaborador administrativo
promotor captador socios,partner business development,promotor captador socios
tripulante cabina pasajeros (tcp),passenger service agent,tripulante cabina pasajeros (tcp)
cocinero pastelero,pastry chef,cocinero pastelero
repostera,pastry chef,repostera
repostero,pastry chef,repostero
coordinador pacientes,patient coordinator,coordinador pacientes
patrono,patron,patrono
patronista calzado,pattern cutter,patronista calzado
disenador de patronaje,pattern designer,disenador de patronaje
patronista,pattern designer,patronista
administrativo departamento pagos,payments administrator,administrativo departamento pagos
administrativo medios pago,payments administrator,administrativo medios pago
director de medios de pago,payments manager,director de medios de pago
gestor de morosidad,payments manager,gestor de morosidad
gestor medios pago,payments manager,gestor medios pago
jefe medios pago,payments manager,jefe medios pago
responsable medios pago,payments manager,responsable medios pago
responsable pagos,payments manager,responsable pagos
tecnico medios de pago,payments officer,tecnico medios de pago
administrativo nominas,payroll administrator,administrativo nominas
analista de nominas,payroll analyst,analista de nominas
responsable de nominas,payroll manager,responsable de nominas
monitor de actividades fisico deportivas,pe teacher,monitor de actividades fisico deportivas
pensionista,pensioner,pensionista
gestor personas,people manager,gestor personas
asesor personal,personal adviser,asesor personal
asesor imagen personal,personal advisor,asesor imagen personal
